"xexist2"  "yexist2"  "xexist2"  "ynode"  "c#1"  "c#2"  "c#3"  "c#4"  "cannot-link"
"1"  1.3680325371773  6.28278287778247  1.3680325371773  5.82560043478023  0  1  0  0  0
"2"  1.8730830422278  0.163966349372375  1.8730830422278  5.99151176359572  1  0  0  0  0
"3"  5.40843657758134  6.22193565878971  5.40843657758134  6.27238147526933  0  1  0  0  0
"4"  8.43873960788437  6.27954669496687  8.43873960788437  0.119455835442889  0  0  0  1  0
"5"  10.4589416280864  0.438015392747837  10.4589416280864  0.3410038202993  0  0  1  0  0
"6"  21.5700527391975  0.500883117414991  21.5700527391975  0.471481504481266  1  0  0  0  0
"7"  31.6710628402076  5.84395284648216  31.6710628402076  6.22115486022248  0  0  0  1  0
"8"  34.7013658705106  5.98941336844656  34.7013658705106  6.17384706966188  0  1  0  0  0
"9"  35.7114668806116  6.14714389448967  35.7114668806116  5.86253776439447  0  0  1  0  0
"10"  45.8124769816217  1.47842494386062  45.8124769816217  1.57594384194166  0  0  1  0  0
"11"  46.3175274866723  5.90746964127485  46.3175274866723  0.122715753117645  1  0  0  0  1
"12"  10.4589416280864  0.438015392747837  10.4589416280864  0.692612394456881  0  1  0  0  0
"13"  11.9740931432379  0.327686646911802  11.9740931432379  0.591096318052637  0  0  0  1  0
"14"  12.9841941533389  5.66544624247412  12.9841941533389  5.34165729411701  0  1  0  0  0
"15"  16.5195476886925  4.70042118543384  16.5195476886925  4.42069603429733  0  1  0  0  0
"16"  18.034699203844  5.36090498166824  18.034699203844  5.43440147611046  0  0  0  1  0
"17"  19.5498507189955  1.77247268326542  19.5498507189955  1.84647717249541  0  1  0  0  0
"18"  25.105406274551  6.25882269931788  25.105406274551  5.90797813353891  0  0  0  1  0
"19"  28.1357093048541  1.00550374715564  28.1357093048541  0.864627434881154  0  1  0  0  0
"20"  38.7417699109147  6.14745268086364  38.7417699109147  6.24770959816335  1  0  0  0  0
"21"  43.2872244563692  0.274651309262125  43.2872244563692  6.17580078498657  0  0  1  0  0
"22"  44.8023759715207  5.89996826235876  44.8023759715207  5.5128731264893  0  1  0  0  0
"23"  45.3074264765712  6.12539506196511  45.3074264765712  6.18070177832154  1  0  0  0  0
"24"  49.3478305169753  5.41142442383206  49.3478305169753  5.71451689608729  1  0  0  0  1
"25"  7.93368910283387  0.476167002577675  7.93368910283387  0.830576290727002  0  0  0  1  0
"26"  9.44884061798538  0.495878918340055  9.44884061798538  0.991401781105993  0  0  0  1  0
"27"  17.024598193743  1.05128047826312  17.024598193743  0.907782084323312  0  1  0  0  0
"28"  20.5599517290965  0.312878690152317  20.5599517290965  0.4364165458408  1  0  0  0  0
"29"  27.6306587998036  5.80215579711222  27.6306587998036  6.05395643224329  0  0  1  0  0
"30"  31.1660123351571  1.01964950065085  31.1660123351571  1.34421809499108  1  0  0  0  0
"31"  36.2165173856622  0.231800758958318  36.2165173856622  0.592563542051696  0  0  0  1  0
"32"  37.2266183957632  4.47877718885028  37.2266183957632  4.54664106810995  1  0  0  0  0
"33"  43.2872244563692  0.274651309262125  43.2872244563692  6.13197697981457  1  0  0  0  0
"34"  49.8528810220258  5.53145812032183  49.8528810220258  5.82841310533134  1  0  0  0  1
"35"  0.862982032126794  0.318393023774945  0.862982032126794  0.662981342847445  0  0  1  0  0
"36"  6.41853758768235  0.87865949111189  6.41853758768235  0.451614483642757  1  0  0  0  0
"37"  13.9942951634399  0.887343348394223  13.9942951634399  0.581928639830166  0  0  1  0  0
"38"  16.5195476886925  4.70042118543384  16.5195476886925  5.04816740119455  0  0  0  1  0
"39"  20.054901224046  5.18180041166108  20.054901224046  5.58862267795105  0  1  0  0  0
"40"  23.085204254349  1.64457884999733  23.085204254349  2.10393231558423  0  1  0  0  0
"41"  26.115507284652  4.96736387857967  26.115507284652  4.47252736888626  0  1  0  0  0
